dd,dt,mp,sp,n,pf,avg_ret,win_rate,avg_cost,sum_ret
20,-0.08,20,0.05,88147,1.0542499847127917,0.0014662059741114275,0.48470169149262027,0.003593716836647871,129.24165799999815
20,-0.1,10,0.08,75198,1.0537289797669498,0.0011440133248224688,0.5842309635894571,0.0035939888560865977,86.02751399999804
15,-0.1,10,0.05,67509,1.0490385599270395,0.0010724193514938748,0.5429202032321616,0.003595178420655023,72.39795799999882
5,-0.08,10,0.05,41015,1.045813538319339,0.0012436803852249178,0.498695599171035,0.0035993171034987195,51.00955099999963
15,-0.08,20,0.03,92464,1.0457683840987195,0.0010985679724000693,0.36479062121474304,0.003594657953365635,101.5779889999963
15,-0.1,10,0.03,74237,1.032489517796963,0.0006350649271926398,0.4644314829532443,0.0035946203375675206,47.1453149999989
10,-0.08,10,0.08,62874,1.032316522766327,0.0008031902376180933,0.5873333969526354,0.0035957994401501414,50.499782999999624
20,-0.08,20,0.03,104374,1.0247385773671571,0.000560081859466917,0.3851150669707015,0.003592126257497078,58.45798399999696
10,-0.08,10,0.05,69425,1.0204631176694305,0.00047332296723082465,0.5356139719121354,0.003595672596326971,32.86044700000043
5,-0.08,10,0.03,41534,1.01961739103485,0.0004741236818028604,0.39832426445803437,0.0035982700919728414,19.692253000000015
20,-0.1,10,0.05,84098,1.0174643056785166,0.00035685163737544294,0.5407262955123784,0.003592989678708173,30.01050900000011
