code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.605208,2022-09-14,24.5972,2022-09-16,22.0991,STOP,3,-0.101562,-0.104927,25
sh.605208,2024-02-20,10.4061,2024-02-27,12.4301,MA,6,0.194492,0.190633,305
sh.605218,2022-04-28,9.6896,2022-05-19,11.1718,MA,13,0.152966,0.149204,1476
sh.605218,2024-01-26,19.8925,2024-01-30,18.3011,STOP,3,-0.08,-0.083385,62
sh.605218,2025-04-10,18.589,2025-04-24,20.8807,MA,11,0.123285,0.119524,588
sh.605218,2026-06-10,16.9693,2026-06-17,18.5958,MA,6,0.095849,0.092026,136
sh.605218,2026-07-16,13.9649,2026-07-20,12.8477,STOP,3,-0.08,-0.083403,40
sh.605218,2026-07-22,12.7114,2026-08-04,13.7681,MA,10,0.08313,0.079381,144
sh.605222,2026-06-04,29.6006,2026-06-08,27.2326,STOP,3,-0.08,-0.083506,91
sh.605222,2026-06-15,26.2713,2026-06-25,24.1696,STOP,8,-0.08,-0.083649,97
sh.605222,2026-07-24,19.0802,2026-08-04,19.7977,MA,8,0.037602,0.033998,132
sh.605228,2022-04-28,6.6536,2022-05-16,7.4096,MA,10,0.113636,0.109964,1476
sh.605228,2024-02-07,7.4267,2024-02-08,6.8325,STOP,2,-0.08,-0.083416,1493
sh.605228,2024-02-20,8.1204,2024-02-26,9.2833,MA,5,0.143216,0.139475,305
sh.605228,2024-06-11,9.3854,2024-07-03,8.6345,STOP,17,-0.08,-0.083445,194
sh.605228,2025-04-11,9.4878,2025-04-24,10.328,MA,10,0.088553,0.084866,38
sh.605228,2026-07-24,10.7091,2026-08-12,11.7335,MA,14,0.095652,0.091971,132
sh.605255,2024-02-28,15.0502,2024-02-29,12.9969,STOP,2,-0.13643,-0.139832,23
sh.605255,2026-04-08,106.9648,2026-04-13,121.3026,MA,4,0.134043,0.130407,65
sh.605255,2026-06-09,88.7799,2026-06-26,93.7083,MA,13,0.055513,0.051803,47
sh.605258,2022-04-28,18.8398,2022-05-20,21.1046,MA,14,0.120216,0.116474,1476
sh.605258,2022-09-07,23.6639,2022-09-16,21.7708,STOP,7,-0.08,-0.083436,56
sh.605258,2024-02-21,17.9137,2024-02-27,20.8993,MA,5,0.166667,0.1628,80
sh.605258,2025-04-10,27.7165,2025-04-24,30.2036,MA,11,0.089734,0.085897,588
sh.605258,2026-07-10,29.658,2026-07-14,27.2854,STOP,3,-0.08,-0.083504,72
sh.605258,2026-07-17,28.0493,2026-07-20,25.8053,STOP,2,-0.08,-0.083568,25
sh.605258,2026-07-24,25.4337,2026-08-05,27.7866,MA,9,0.092513,0.088564,132
sh.605259,2025-04-10,30.1996,2025-04-24,34.8045,MA,11,0.152482,0.14865,588
sh.605266,2024-02-07,107.5843,2024-02-28,117.5332,MA,10,0.092475,0.088907,1493
sh.605266,2024-06-27,81.0258,2024-07-01,74.2833,STOP,3,-0.083214,-0.086824,42
sh.605266,2024-07-08,72.3734,2024-07-10,65.602,STOP,3,-0.093563,-0.097304,47
sh.605266,2024-07-12,65.2547,2024-07-16,60.0344,STOP,3,-0.08,-0.083912,21
sh.605266,2025-01-09,61.3481,2025-01-24,63.75,MA,12,0.039151,0.034962,23
sh.605268,2022-04-28,9.0047,2022-05-24,9.7475,MA,16,0.082486,0.078853,1476
sh.605268,2024-02-22,7.9347,2024-03-04,8.2479,MA,8,0.039474,0.035864,51
sh.605268,2026-03-31,13.5551,2026-04-13,13.8317,MA,9,0.020408,0.016824,26
sh.605277,2023-05-09,23.809,2023-05-23,25.8532,MA,11,0.085855,0.082177,47
sh.605277,2024-02-07,21.9805,2024-02-26,25.2135,MA,8,0.147086,0.143228,1493
sh.605277,2024-04-18,28.6905,2024-04-29,31.6388,MA,8,0.102764,0.098948,204
sh.605277,2025-04-10,35.951,2025-04-28,38.1748,MA,13,0.061856,0.057872,588
