code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,score,ret5,shrink,gap,density,priority
sh.600727,2020-02-26,29.1475,2020-02-26,30.6049,TP,1,0.05,0.046912,0.1235,0.0182,0.664,-0.0128,8,0.1235
sh.600343,2020-02-26,21.4967,2020-02-27,22.5715,TP,2,0.05,0.046913,0.1221,-0.0359,0.7487,-0.0098,8,0.1221
sh.600388,2020-02-26,71.6262,2020-02-28,69.4774,SL,3,-0.03,-0.032948,0.1213,0.0046,0.69,-0.0055,8,0.1213
sz.000545,2020-02-26,10.4901,2020-02-28,10.1495,SL,3,-0.032468,-0.035411,0.1166,0.0,0.7084,0.0098,8,0.1166
sh.600251,2020-06-02,44.3221,2020-06-04,42.9924,SL,3,-0.03,-0.032947,0.1577,-0.0524,0.6843,-0.0015,4,0.1577
sz.002864,2020-06-02,27.489,2020-06-03,28.8634,TP,2,0.05,0.046912,0.1479,-0.042,0.6932,-0.0007,4,0.1479
sz.002737,2020-06-02,64.3692,2020-06-03,67.5876,TP,2,0.05,0.046912,0.1249,-0.032,0.7357,0.0,4,0.1249
sz.002042,2020-06-02,30.4755,2020-06-03,31.9992,TP,2,0.05,0.046913,0.0889,0.0189,0.7494,0.0,4,0.0889
sz.000829,2020-07-03,75.5534,2020-07-06,79.331,TP,2,0.05,0.046913,0.21,-0.0973,0.6209,-0.0016,8,0.21
sz.002168,2020-07-03,118.9027,2020-07-07,124.8478,TP,3,0.05,0.046912,0.208,-0.1158,0.6538,0.0,8,0.208
sh.600337,2020-07-03,50.0343,2020-07-08,56.6236,TP,4,0.131696,0.128466,0.167,-0.0219,0.6155,0.0045,8,0.167
sz.000948,2020-07-03,21.2226,2020-07-06,22.2837,TP,2,0.05,0.046913,0.15,-0.044,0.691,-0.0008,8,0.15
sh.603680,2020-07-03,22.5786,2020-07-09,23.7075,TP,5,0.05,0.046912,0.1291,-0.0187,0.7052,0.005,8,0.1291
sh.603089,2020-07-03,20.3309,2020-07-03,21.3474,TP,1,0.05,0.046913,0.1247,-0.022,0.7213,-0.0102,8,0.1247
sh.603717,2020-07-03,11.8557,2020-07-07,12.6338,TP,3,0.065632,0.062518,0.1073,-0.0071,0.7424,-0.0012,8,0.1073
sh.603683,2020-07-03,12.7629,2020-07-06,12.3801,SL,2,-0.03,-0.032948,0.0921,0.0186,0.7417,0.0,8,0.0921
