code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sz.000563,2019-05-09,53.5112,2019-05-28,56.1429,MA,14,0.04918,0.046094,,144,153.6598301861438
sz.000564,2018-08-08,8.1388,2018-08-23,7.4877,STOP,12,-0.08,-0.08286,,85,216.68438900780328
sz.000564,2018-10-22,5.9391,2018-11-02,6.5502,MA,10,0.102881,0.099701,,282,216.68438900780328
sz.000564,2019-05-09,7.5034,2019-05-20,6.9031,STOP,8,-0.08,-0.08286,,144,216.68438900780328
sz.000564,2020-02-05,4.546,2020-02-21,5.2059,MA,13,0.145161,0.141907,,525,216.68438900780328
sz.000564,2021-02-10,4.5216,2021-02-22,4.1061,STOP,4,-0.091892,-0.094731,,65,216.68438900780328
sz.000567,2018-06-21,38.6332,2018-06-27,42.8387,MA,5,0.108857,0.105667,,348,119.86792324040005
sz.000567,2025-01-07,81.0401,2025-02-10,83.4803,MA,19,0.030111,0.027058,,128,119.86792324040005
sz.000581,2019-05-08,71.3479,2019-05-29,72.1247,MA,16,0.010886,0.007867,,200,138.58061480616703
sz.000581,2025-04-10,96.3016,2025-04-24,102.4485,MA,11,0.06383,0.060718,,463,138.58061480616703
sz.000582,2017-05-25,42.5746,2017-06-01,39.1687,STOP,4,-0.08,-0.08286,,82,267.5967497880226
sz.000582,2017-12-07,34.0455,2018-01-03,35.0365,MA,19,0.029106,0.026055,,156,267.5967497880226
sz.000582,2019-05-15,31.148,2019-06-04,30.8616,MA,15,-0.009195,-0.012179,,86,267.5967497880226
sz.000591,2022-04-28,59.0786,2022-05-12,64.1731,MA,8,0.086233,0.083082,,837,174.17172498952888
sz.000592,2018-06-25,13.4863,2018-07-13,14.1239,MA,15,0.047273,0.04419,,110,122.88096501374152
sz.000592,2019-05-15,18.3414,2019-05-20,16.8741,STOP,4,-0.08,-0.08286,,86,122.88096501374152
sz.000592,2019-05-22,17.5567,2019-06-06,16.1522,STOP,12,-0.08,-0.08286,,61,122.88096501374152
sz.000592,2020-02-05,11.2795,2020-02-21,12.7997,MA,13,0.134783,0.131547,,525,122.88096501374152
sz.000592,2022-04-28,11.1323,2022-05-20,12.2603,MA,14,0.101322,0.098144,,837,122.88096501374152
