code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.601326,2017-12-07,5.78,2017-12-27,6.6,MA,15,0.141869,0.138138,156
sh.601326,2018-06-21,4.2242,2018-07-06,3.8863,STOP,12,-0.08,-0.083409,348
sh.601360,2022-04-28,15.9883,2022-05-19,16.5564,MA,13,0.035533,0.031937,837
sh.601360,2025-01-07,19.6111,2025-01-27,22.4602,MA,15,0.145281,0.141543,128
sh.601366,2024-02-19,4.4701,2024-02-28,5.2663,MA,8,0.178117,0.174333,103
sh.601566,2022-04-28,13.2564,2022-05-23,13.8784,MA,15,0.046914,0.043266,837
sh.601567,2022-03-17,48.3952,2022-03-31,56.9476,MA,11,0.17672,0.172921,122
sh.601579,2024-02-07,9.139,2024-02-26,10.1885,MA,8,0.114833,0.111066,986
sh.601588,2018-02-09,4.8105,2018-03-09,5.2234,MA,16,0.085847,0.082179,234
sh.601588,2018-06-21,3.9957,2018-07-24,3.9479,MA,24,-0.011958,-0.015442,348
sh.601588,2018-10-22,2.7624,2018-11-02,3.2458,MA,10,0.175,0.171232,282
sh.601588,2022-04-28,2.7492,2022-05-17,2.9646,MA,11,0.078341,0.074713,837
sh.601588,2025-01-08,2.3235,2025-02-10,2.2848,MA,18,-0.016667,-0.020143,298
sh.601595,2020-02-05,12.0391,2020-02-21,14.2072,MA,13,0.180087,0.176278,525
sh.601599,2018-06-25,12.6976,2018-07-25,12.3195,MA,23,-0.029777,-0.033357,110
sh.601599,2020-02-05,8.4267,2020-02-24,9.6026,MA,14,0.139535,0.135747,525
sh.601599,2024-02-07,9.0146,2024-02-08,8.2935,STOP,2,-0.08,-0.083388,986
sh.601599,2025-01-07,11.1703,2025-01-21,11.8889,MA,11,0.064327,0.060612,128
sh.601600,2022-04-28,4.71,2022-05-23,5.2809,MA,15,0.121212,0.117519,837
sh.601606,2020-02-05,9.3148,2020-02-19,10.5682,MA,11,0.134553,0.130778,525
sh.601606,2024-02-07,9.2935,2024-02-23,10.36,MA,7,0.114754,0.111006,986
sh.601607,2022-04-28,151.449,2022-05-12,181.4187,MA,8,0.197886,0.194429,837
sh.601608,2019-05-08,6.1375,2019-05-30,6.4057,MA,17,0.043702,0.040118,200
sh.601608,2020-02-05,5.1277,2020-02-19,5.8693,MA,11,0.144615,0.140872,525
sh.601609,2024-02-07,5.3828,2024-02-23,6.0963,MA,7,0.132554,0.128823,986
sh.601615,2024-02-02,9.4755,2024-02-05,8.7174,STOP,2,-0.08,-0.083435,171
sh.601615,2024-02-07,8.8473,2024-02-26,10.4492,MA,8,0.181065,0.177266,986
sh.601615,2025-01-08,11.5865,2025-02-10,12.1053,MA,18,0.044776,0.04113,298
sh.601616,2019-05-08,7.0789,2019-06-14,7.2362,MA,27,0.022222,0.01868,200
sh.601616,2024-02-07,5.1583,2024-02-08,4.7456,STOP,2,-0.08,-0.0834,986
sh.601616,2024-02-20,5.3908,2024-02-27,6.0039,MA,6,0.113725,0.110024,226
sh.601616,2025-04-10,8.4083,2025-04-28,8.885,MA,13,0.056701,0.053035,463
sh.601619,2018-10-22,4.73,2018-10-24,4.3516,STOP,3,-0.08,-0.083387,282
sh.601619,2019-05-09,4.4178,2019-05-28,4.7623,MA,14,0.077982,0.074336,144
sh.601636,2019-05-08,11.1951,2019-05-30,11.4505,MA,17,0.02282,0.01917,200
